province_id,province_name,min_rain,max_rain,avg_rain,year_no,month_no,date,plant,produce_value
83,ภูเก็ต,156.8899994,270.9500122,208.9887085,2018,1,01-01-18,ทุเรียน,0
83,ภูเก็ต,14.22000027,39.38999939,26.03816795,2018,2,02-01-18,ทุเรียน,0
83,ภูเก็ต,34.16999817,132.5500031,78.29968262,2018,3,03-01-18,ทุเรียน,0
83,ภูเก็ต,62.25999832,138.1799927,98.4460144,2018,4,04-01-18,ทุเรียน,0
83,ภูเก็ต,240.6600037,331.9500122,281.3390808,2018,5,05-01-18,ทุเรียน,0
83,ภูเก็ต,373.6000061,589.4500122,475.3139038,2018,6,06-01-18,ทุเรียน,234
83,ภูเก็ต,162.6300049,210.4799957,169.0914917,2018,7,07-01-18,ทุเรียน,336
83,ภูเก็ต,223.3999939,235.3899994,230.8567657,2018,8,08-01-18,ทุเรียน,147
83,ภูเก็ต,271.9200134,293.9899902,285.5464783,2018,9,09-01-18,ทุเรียน,0
95,ยะลา,39.77000046,114.1399994,74.77960968,2018,8,08-01-18,ทุเรียน,25340
95,ยะลา,202.2400055,280.730011,235.0416565,2018,9,09-01-18,ทุเรียน,6405
95,ยะลา,275.0899963,313.8900146,292.8937988,2018,10,10-01-18,ทุเรียน,147
95,ยะลา,169.9499969,270.9700012,222.410553,2018,11,11-01-18,ทุเรียน,0
95,ยะลา,403.3900146,641.5599976,550.7974854,2018,12,12-01-18,ทุเรียน,0
96,นราธิวาส,166.3600006,360.4700012,272.7171936,2018,1,01-01-18,ทุเรียน,0
96,นราธิวาส,43.79999924,54.20000076,47.17945862,2018,2,02-01-18,ทุเรียน,0
96,นราธิวาส,46.15999985,87.98999786,67.662117,2018,3,03-01-18,ทุเรียน,0
96,นราธิวาส,84.30999756,213.8999939,126.230011,2018,4,04-01-18,ทุเรียน,0
96,นราธิวาส,109.3600006,247.8899994,199.4613342,2018,5,05-01-18,ทุเรียน,0
96,นราธิวาส,102.9100037,114.4000015,110.1369171,2018,6,06-01-18,ทุเรียน,0
96,นราธิวาส,102.5299988,113.6500015,108.8468094,2018,7,07-01-18,ทุเรียน,6750
96,นราธิวาส,74.58000183,175.7899933,127.8269196,2018,8,08-01-18,ทุเรียน,8532
96,นราธิวาส,215.0299988,252.2899933,222.6338348,2018,9,09-01-18,ทุเรียน,665
96,นราธิวาส,297.4400024,324.5,314.1608276,2018,10,10-01-18,ทุเรียน,0
96,นราธิวาส,233.9600067,316.5899963,275.7172241,2018,11,11-01-18,ทุเรียน,0
96,นราธิวาส,559.25,700.0800171,625.5662842,2018,12,12-01-18,ทุเรียน,0
57,เชียงราย,4.769999981,16.86000061,8.776122093,2018,1,01-01-18,ลองกอง,0
57,เชียงราย,3.789999962,20.5,10.91876125,2018,2,02-01-18,ลองกอง,0
57,เชียงราย,13.93000031,35.59000015,26.05649567,2018,3,03-01-18,ลองกอง,0
57,เชียงราย,120.2900009,195.3800049,162.1420746,2018,4,04-01-18,ลองกอง,0
57,เชียงราย,267.7000122,515.5300293,409.65625,2018,5,05-01-18,ลองกอง,0
57,เชียงราย,112.5299988,246.9900055,202.5148926,2018,6,06-01-18,ลองกอง,0
57,เชียงราย,166.8399963,274.0400085,226.2425995,2018,7,07-01-18,ลองกอง,0
57,เชียงราย,156.3999939,301.8999939,274.5151672,2018,8,08-01-18,ลองกอง,65
57,เชียงราย,104.6500015,245.8699951,194.6696777,2018,9,09-01-18,ลองกอง,165
57,เชียงราย,133.3099976,269.9899902,194.070816,2018,10,10-01-18,ลองกอง,51
57,เชียงราย,8.180000305,54.88999939,37.94283295,2018,11,11-01-18,ลองกอง,9
57,เชียงราย,19.78000069,45.20000076,34.87195587,2018,12,12-01-18,ลองกอง,0
64,สุโขทัย,1.5,11.86999989,5.354606628,2018,1,01-01-18,ลองกอง,0
64,สุโขทัย,12.47999954,43.86000061,24.96240425,2018,2,02-01-18,ลองกอง,0
64,สุโขทัย,9.010000229,55.90000153,31.31688309,2018,3,03-01-18,ลองกอง,0
64,สุโขทัย,22,122.7300034,63.34008408,2018,4,04-01-18,ลองกอง,0
64,สุโขทัย,112.0299988,257.2600098,176.852478,2018,5,05-01-18,ลองกอง,0
64,สุโขทัย,163.1499939,192.8200073,179.2952271,2018,6,06-01-18,ลองกอง,0
64,สุโขทัย,30.19000053,156.9499969,87.68547821,2018,7,07-01-18,ลองกอง,0
64,สุโขทัย,69.5,266.1099854,137.7821198,2018,8,08-01-18,ลองกอง,294
64,สุโขทัย,56.75999832,173.0800018,121.4623032,2018,9,09-01-18,ลองกอง,4895
64,สุโขทัย,86.56999969,216.7200012,138.2528076,2018,10,10-01-18,ลองกอง,287
64,สุโขทัย,0,6.010000229,2.490236521,2018,11,11-01-18,ลองกอง,0
64,สุโขทัย,2.00999999,10.88000011,6.245248795,2018,12,12-01-18,ลองกอง,0
54,แพร่,8.220000267,23.79999924,17.96342468,2018,1,01-01-18,ลองกอง,0
54,แพร่,15.81000042,52.29000092,31.99783325,2018,2,02-01-18,ลองกอง,0
54,แพร่,11.19999981,39.50999832,23.34754562,2018,3,03-01-18,ลองกอง,0
54,แพร่,97.80000305,211.3899994,159.9396515,2018,4,04-01-18,ลองกอง,0
54,แพร่,126.0100021,238.5899963,174.48172,2018,5,05-01-18,ลองกอง,0
54,แพร่,88.11000061,189.6300049,127.783226,2018,6,06-01-18,ลองกอง,0
54,แพร่,96.08000183,301.5499878,228.3664551,2018,7,07-01-18,ลองกอง,0
54,แพร่,79.84999847,231.1999969,160.8286133,2018,8,08-01-18,ลองกอง,37
54,แพร่,81.80999756,161.8000031,112.7869873,2018,9,09-01-18,ลองกอง,696
54,แพร่,32.70999908,226.9100037,75.9934845,2018,10,10-01-18,ลองกอง,28
54,แพร่,0.899999976,8.420000076,3.620377541,2018,11,11-01-18,ลองกอง,0
54,แพร่,3.400000095,12.51000023,6.579486847,2018,12,12-01-18,ลองกอง,0
53,อุตรดิตถ์,3.390000105,21.01000023,12.1570034,2018,1,01-01-18,ลองกอง,0
53,อุตรดิตถ์,12.31000042,40.79000092,24.4106617,2018,2,02-01-18,ลองกอง,0
53,อุตรดิตถ์,3.609999895,49.13000107,23.28878975,2018,3,03-01-18,ลองกอง,0
53,อุตรดิตถ์,38.16999817,170.7299957,106.6992874,2018,4,04-01-18,ลองกอง,0
53,อุตรดิตถ์,135.8200073,280.3500061,198.8296661,2018,5,05-01-18,ลองกอง,0
53,อุตรดิตถ์,117.4599991,200.3800049,161.1641388,2018,6,06-01-18,ลองกอง,0
53,อุตรดิตถ์,78.83999634,306.0899963,180.6965942,2018,7,07-01-18,ลองกอง,0
53,อุตรดิตถ์,129.5399933,300.9299927,206.1964722,2018,8,08-01-18,ลองกอง,3617
53,อุตรดิตถ์,85.33999634,191.0700073,142.502121,2018,9,09-01-18,ลองกอง,3929
53,อุตรดิตถ์,36.36000061,128.4100037,78.72132111,2018,10,10-01-18,ลองกอง,4326
53,อุตรดิตถ์,1.809999943,3.400000095,2.552218199,2018,11,11-01-18,ลองกอง,139
53,อุตรดิตถ์,3.210000038,10.01000023,6.083253384,2018,12,12-01-18,ลองกอง,0
26,นครนายก,53.22000122,115.5699997,85.02064514,2018,1,01-01-18,ลองกอง,0
26,นครนายก,43.86999893,74.38999939,55.11022186,2018,2,02-01-18,ลองกอง,0
26,นครนายก,21.84000015,78.01999664,46.78644943,2018,3,03-01-18,ลองกอง,0
26,นครนายก,126.1699982,207.4299927,165.6349487,2018,4,04-01-18,ลองกอง,0
26,นครนายก,85.69000244,299.4400024,175.8348389,2018,5,05-01-18,ลองกอง,0
26,นครนายก,108.5599976,199.2299957,147.4226379,2018,6,06-01-18,ลองกอง,1
26,นครนายก,112.6100006,386.9299927,239.0176849,2018,7,07-01-18,ลองกอง,3
26,นครนายก,149.9600067,390.5599976,281.1910095,2018,8,08-01-18,ลองกอง,3
26,นครนายก,183.6600037,395.3999939,295.316803,2018,9,09-01-18,ลองกอง,1
26,นครนายก,110.0599976,203.4600067,126.0686646,2018,10,10-01-18,ลองกอง,0
