year,plant,region_province,type,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12, percentage_per_ton 
2551,เงาะ,กระบี่, ปริมาณ , -   , -   , -   , -   , 58 , 204 , 504 , 312 , 122 , 44 , -   , -   ," 1,244 "
2551,เงาะ,ตรัง, ร้อยละ , -   , -   , -   , -   , -   , 1.13 , 67.28 , 28.73 , 2.86 , -   , -   , -   , 100.00 
2551,เงาะ,ตรัง, ปริมาณ , -   , -   , -   , -   , -   , 32 ," 1,893 ", 808 , 81 , -   , -   , -   ," 2,814 "
2551,เงาะ,นครศรีธรรมราช, ร้อยละ , 2.07 , -   , -   , -   , -   , 1.17 , 10.57 , 39.15 , 27.42 , 5.44 , 3.16 , 11.02 , 100.00 
2551,เงาะ,นครศรีธรรมราช, ปริมาณ , 609 , -   , -   , -   , -   , 344 ," 3,108 "," 11,510 "," 8,062 "," 1,599 ", 929 ," 3,240 "," 29,401 "
2551,เงาะ,พัทลุง, ร้อยละ , -   , -   , -   , -   , -   , -   , 12.02 , 75.01 , 12.97 , -   , -   , -   , 100.00 
2551,เงาะ,พัทลุง, ปริมาณ , -   , -   , -   , -   , -   , -   , 180 ," 1,122 ", 194 , -   , -   , -   ," 1,496 "
2551,เงาะ,สงขลา, ร้อยละ , -   , -   , -   , -   , -   , -   , 41 , 48 , 11 , -   , -   , -   , 100.00 
2551,เงาะ,สงขลา, ปริมาณ , -   , -   , -   , -   , -   , -   ," 1,447 "," 1,693 ", 388 , -   , -   , -   ," 3,528 "
2551,เงาะ,สตูล, ร้อยละ , -   , -   , -   , -   , -   , 10.50 , 80.00 , 9.50 , -   , -   , -   , -   , 100.00 
2551,เงาะ,สตูล, ปริมาณ , -   , -   , -   , -   , -   , 427 ," 3,250 ", 386 , -   , -   , -   , -   ," 4,063 "
2551,เงาะ,ปัตตานี, ร้อยละ , -   , -   , -   , -   , -   , -   , 14.72 , 48.35 , 36.73 , 0.20 , -   , -   , 100.00 
2551,เงาะ,ปัตตานี, ปริมาณ , -   , -   , -   , -   , -   , -   , 178 , 586 , 446 , 2 , -   , -   ," 1,212 "
2551,เงาะ,ยะลา, ร้อยละ , -   , -   , -   , -   , -   , -   , 26.42 , 52.40 , 19.32 , 1.86 , -   , -   , 100.00 
2551,เงาะ,, ปริมาณ , -   , -   , -   , -   , -   , -   ," 1,151 "," 2,284 ", 842 , 81 , -   , -   ," 4,358 "
2551,เงาะ,นราธิวาส, ร้อยละ , -   , -   , -   , -   , -   , -   , 25.06 , 48.06 , 25.47 , 1.41 , -   , -   , 100.00 
2551,เงาะ,, ปริมาณ , -   , -   , -   , -   , -   , -   ," 3,253 "," 6,238 "," 3,306 ", 182 , -   , -   ," 12,979 "
2551,ลิ้นจี่,รวมทั้งประเทศ,ร้อยละ, -   , -   , 0.16 , 4.56 , 76.49 , 18.59 , 0.20 , -   , -   , -   , -   , -   , 100.00 
